date,transaction_description,category,amount,type,year,month,years_month,abs_amount
2020-01-02,Score each.,Food & Drink,1485.69,expense,2020,January,2020-01,1485.69
2020-01-02,Quality throughout.,Utilities,1475.58,expense,2020,January,2020-01,1475.58
2020-01-04,Instead ahead despite measure ago.,Rent,1185.08,expense,2020,January,2020-01,1185.08
2020-01-05,Information last everything thank serve.,Investment,2291.0,expense,2020,January,2020-01,2291.0
2020-01-13,Future choice whatever from.,Food & Drink,1126.88,expense,2020,January,2020-01,1126.88
2020-01-14,Benefit suggest page southern.,Shopping,448.68,expense,2020,January,2020-01,448.68
2020-01-18,By two bad fall pick.,Food & Drink,1520.03,expense,2020,January,2020-01,1520.03
2020-01-19,Court attorney product significant world.,Other,3287.0,income,2020,January,2020-01,3287.0
2020-01-21,Herself law.,Entertainment,1914.85,expense,2020,January,2020-01,1914.85
2020-01-25,Have decide environment.,Rent,766.06,expense,2020,January,2020-01,766.06
2020-01-25,Play move each left establish.,Health & Fitness,1211.41,expense,2020,January,2020-01,1211.41
2020-01-26,Range successful simply.,Salary,1077.09,expense,2020,January,2020-01,1077.09
2020-01-29,Source husband.,Shopping,166.81,expense,2020,January,2020-01,166.81
2020-01-30,Tree note responsibility.,Health & Fitness,1158.93,expense,2020,January,2020-01,1158.93
2020-01-31,How trip learn enter.,Food & Drink,1325.91,expense,2020,January,2020-01,1325.91
2020-01-31,Much section investment on gun.,Rent,1712.08,expense,2020,January,2020-01,1712.08
2020-01-31,Management sense technology check civil.,Shopping,563.17,expense,2020,January,2020-01,563.17
2020-02-02,As high you more wife.,Health & Fitness,333.68,expense,2020,February,2020-02,333.68
2020-02-04,Race mr.,Travel,1406.62,expense,2020,February,2020-02,1406.62
2020-02-05,Born itself law west.,Rent,1222.17,expense,2020,February,2020-02,1222.17
2020-02-05,Seven medical blood personal.,Investment,1838.0,expense,2020,February,2020-02,1838.0
2020-02-07,Current hear claim well two.,Travel,1979.15,expense,2020,February,2020-02,1979.15
2020-02-07,Food affect upon these story.,Entertainment,1372.38,expense,2020,February,2020-02,1372.38
2020-02-08,Around there water.,Food & Drink,465.81,expense,2020,February,2020-02,465.81
2020-02-08,Staff within mouth call.,Other,3786.0,income,2020,February,2020-02,3786.0
2020-02-09,Close month parent who up.,Entertainment,1827.14,expense,2020,February,2020-02,1827.14
2020-02-11,Human public health.,Health & Fitness,433.13,expense,2020,February,2020-02,433.13
2020-02-13,Building different full open.,Salary,294.31,expense,2020,February,2020-02,294.31
2020-02-15,Detail audience piece director town.,Other,4009.0,income,2020,February,2020-02,4009.0
2020-02-16,Method everything.,Shopping,730.37,expense,2020,February,2020-02,730.37
2020-02-16,Much rich think.,Utilities,1023.96,expense,2020,February,2020-02,1023.96
2020-02-18,Drug list imagine behind.,Investment,1398.0,expense,2020,February,2020-02,1398.0
2020-02-19,Interest level rock pull.,Investment,3958.0,expense,2020,February,2020-02,3958.0
2020-02-20,I fund.,Shopping,769.42,expense,2020,February,2020-02,769.42
2020-02-26,Court movie cell.,Travel,1942.45,expense,2020,February,2020-02,1942.45
2020-02-27,Leg themselves away.,Food & Drink,1363.76,expense,2020,February,2020-02,1363.76
2020-02-28,Anything yourself.,Other,3286.0,income,2020,February,2020-02,3286.0
2020-02-28,Unit support.,Other,1795.0,income,2020,February,2020-02,1795.0
2020-02-29,Magazine degree husband around.,Travel,1944.06,expense,2020,February,2020-02,1944.06
2020-03-03,World enter.,Rent,1742.33,expense,2020,March,2020-03,1742.33
2020-03-04,Institution whatever yet.,Entertainment,314.15,expense,2020,March,2020-03,314.15
2020-03-04,Choice father why often.,Food & Drink,1201.9,expense,2020,March,2020-03,1201.9
2020-03-09,Security arm.,Rent,1858.91,expense,2020,March,2020-03,1858.91
2020-03-09,Me system church whether.,Travel,486.51,expense,2020,March,2020-03,486.51
2020-03-11,Attention attack technology.,Rent,180.45,expense,2020,March,2020-03,180.45
2020-03-11,Walk now often.,Rent,1956.19,expense,2020,March,2020-03,1956.19
2020-03-12,Bank price north first end.,Utilities,265.5,expense,2020,March,2020-03,265.5
2020-03-12,Enter capital population.,Utilities,537.46,expense,2020,March,2020-03,537.46
2020-03-14,Upon very act perform.,Shopping,1929.08,expense,2020,March,2020-03,1929.08
2020-03-15,Available defense.,Entertainment,1428.77,expense,2020,March,2020-03,1428.77
2020-03-18,Value thing these.,Health & Fitness,881.82,expense,2020,March,2020-03,881.82
2020-03-21,Citizen street region.,Rent,503.33,expense,2020,March,2020-03,503.33
